Alpha,Cl,Cd,Cm
-180.0,0.0,0.001,0.0
-178.73214285714283,0.058525000000000556,0.001,0.05071428571428669
-177.46428571428572,0.11704999999999995,0.001,0.1014285714285711
-176.19642857142858,0.1755749999999993,0.001,0.15214285714285666
-174.92857142857144,0.2340999999999999,0.001,0.2028571428571422
-173.66071428571428,0.2926250000000004,0.001,0.2535714285714289
-172.39285714285714,0.35114999999999985,0.0017953025915555011,0.30428571428571444
-171.12500000000003,0.4096749999999992,0.010023398001962208,0.35499999999999887
-169.85714285714286,0.4681999999999998,0.01947405090443119,0.3995396841277048
-168.5892857142857,0.5267250000000003,0.030128867534754463,0.3954543807610844
-167.32142857142858,0.5852499999999996,0.041967110974339764,0.39136907739446425
-166.05357142857144,0.6437749999999991,0.0549657416968126,0.3872837740278439
-164.7857142857143,0.7022999999999997,0.06909946261656104,0.38319847066122364
-163.51785714285714,0.7608250000000002,0.08434076855103831,0.37911316729460326
-162.25,0.8193499999999996,0.10065999999999992,0.375027863927983
-157.08928571428572,0.732954483043445,0.1775144356550178,0.34443918142607227
-151.92857142857144,0.6865431921020102,0.26918723990045734,0.3030595098228065
-146.76785714285717,0.6553522138783943,0.3727314335499151,0.28503781321342037
-141.60714285714286,0.6275041955162399,0.4848195080270236,0.2809534718490013
-136.44642857142856,0.5966464209331941,0.6018509250696283,0.2847787567726327
-131.28571428571428,0.5592802241399646,0.7200684244771245,0.29218125961548275
-126.12500000000001,0.513625820095519,0.8356793775181736,0.30165775323177785
-120.96428571428572,0.4590735865821623,0.9449782605337604,0.3118223912521654
-115.80357142857142,0.39588341706086183,1.044466287215113,0.32025129408661346
-110.64285714285714,0.324995804074614,1.130964330172684,0.32828134713365414
-105.48214285714286,0.24789473190483288,1.2017154797578142,0.33156350227808573
-100.32142857142857,0.16649460113651385,1.2544739236174525,0.3341700672071263
-95.16071428571429,0.08303818835420576,1.2875772732945716,0.3298161921278254
-90.0,5.572142936120457e-17,1.3,0.325
-84.83928571428571,-0.08303818835420576,1.2875772732945716,0.3112699609418973
